Title;Media;X;Instagram;TikTok;YouTube;Facebook;;;
Zohran Mamdani sworn in;FOX;https://x.com/FoxNews/status/2006820181213925533;https://www.instagram.com/p/DS-yA22iony/?hl=de;https://www.tiktok.com/@foxnews/video/7590275773458631991;https://www.youtube.com/shorts/sUMcYwyecGQ;https://www.facebook.com/FoxNews/posts/pfbid0JZ2PbJYdqdVWFFkRvGj1sLgPS8DA2N5CP5qMUXpiHRP5oTtTXctxJqfCGSMDAUo8l; ;30.12.2025;05.11.2025
Zohran Mamdani sworn in;CNN;https://x.com/CNN/status/2006836121578225995;https://www.instagram.com/p/DS-8JvUlGTI/;https://www.tiktok.com/@cnn/video/7590491117670485261;https://www.youtube.com/shorts/-NqKBc11bqI;https://www.facebook.com/photo.php?fbid=1250451030280879; ;;
Zohran Mamdani sworn in;MSNBC; ;https://www.instagram.com/p/DS-xsoDjirP/; ;https://www.youtube.com/shorts/ppjEvpE-Ez0;NF;;;
Zohran Mamdani sworn in;Reuters;https://x.com/Reuters/status/2006874327464157313;https://www.instagram.com/reel/DS-GDH-Exh2/?hl=de; ; ;https://www.facebook.com/photo/?fbid=1428607515796643&set=a.389433423047396; ;;
Zohran Mamdani sworn in;ORF; ;https://www.instagram.com/zeitimbild/p/DS9gREwjPOp/;https://www.tiktok.com/@zeitimbild/video/7569218033068018966;https://www.youtube.com/shorts/UEjUvbHVIEw;https://www.facebook.com/photo.php?fbid=1238053091703574; ;;
US attacks Venezuela;FOX;https://x.com/FoxNews/status/2007404727076790447;https://www.instagram.com/p/DTColCagJfw/?hl=de;https://www.tiktok.com/@foxnews/video/7591042785160088846; ;https://www.facebook.com/FoxNews/posts/aftermath-revealed-satellite-images-show-extensive-damage-at-venezuelas-fuerte-t/1281887873801072; ;03.01.2026;
US attacks Venezuela;CNN;https://x.com/CNN/status/2007385573594439827;https://www.instagram.com/p/DTCu9zVEeqJ/;https://www.tiktok.com/@cnn/video/7591053580644158733;https://www.youtube.com/shorts/u_WNKwsGAYo;https://www.facebook.com/photo.php?fbid=1252587753400540; ;;
US attacks Venezuela;MSNBC;https://x.com/MSNOWNews/status/2007414066382549251;https://www.instagram.com/p/DTDJ_wtEVm_/;https://www.tiktok.com/@msnow/video/7591119971887992077;https://www.youtube.com/shorts/5Vb64pTD2iE;https://www.facebook.com/msnownews/posts/pfbid02ZKziReh5APjiAosxZ9Qvrxxx4gh58kSTwjaU2cZgAzsULKZCyyZ3HCgnftron9RAl; ;;
US attacks Venezuela;Reuters; ;https://www.instagram.com/reuters/reel/DTDsBEaEXAj/;https://www.tiktok.com/@reuters/video/7591091160987323703; ;https://www.facebook.com/reel/1304273051455727; ;;
US attacks Venezuela;ORF; ;https://www.instagram.com/p/DTCziQxDVW3/;https://www.tiktok.com/@zeitimbild/video/7591105533491383574;https://www.youtube.com/watch?v=i52EcbQ2kCY;https://www.facebook.com/ZeitimBild/posts/pfbid0pAToaTWRNpzLUTzXDFpGSgP2LeQ2BAzEg8jgxcLgoMMZJEdAiHM5gGKUP7kmFXegl; ;;
Trump inauguration;FOX;https://x.com/FoxNews/status/1881389872268575098;https://www.instagram.com/reel/DFDE-A9OZLb/?hl=de;https://www.tiktok.com/@foxnews/video/7462044854051147039;https://www.youtube.com/watch?v=iiO3nFqlwGw;https://www.facebook.com/watch?v=1336412247707582; ;20.01.2025;
Trump inauguration;CNN;https://x.com/cnn/status/822510228033912840;NF;https://www.tiktok.com/@cnn/video/7462050582744796458;https://www.youtube.com/watch?v=_v7GIWtX8us;https://www.facebook.com/cnn/posts/donald-trump-will-be-sworn-in-as-the-47th-president-to-enact-his-sweeping-vision/992783586047626; ;;
Trump inauguration;MSNBC; ; ;https://www.tiktok.com/@msnow/video/7462050818464714030;https://www.youtube.com/shorts/qf6lCPSf0iU;https://www.facebook.com/msnownews/posts/pfbid02jpQU2iKX7LGFKC9WS9Qks5Kz8qoP9qfbgsfQozHWbCVhYv26e2kbru4TxtQsELo2l; ;;
Trump inauguration;Reuters;NF;https://www.instagram.com/reuters/reel/DFDwJLLAjqC/;https://www.tiktok.com/@reuters/video/7434114701451136299; ;https://www.facebook.com/reel/608664858235033; ;;
Trump inauguration;ORF; ;https://www.instagram.com/p/DFCmj-SNxS3/; ;https://www.youtube.com/watch?v=m502Osfz8DI;NF;;;
Minneapolis ICE shooting protests;FOX;https://x.com/FoxNews/status/2009823881465344475;https://www.instagram.com/p/DTUH9_6FPB5/;https://www.tiktok.com/@foxnews/video/7593563716738731294;https://www.youtube.com/watch?v=ZmH306G1kcc;https://www.facebook.com/FoxNews/posts/pfbid02XokfgfE5CdUYVMpYMF2RfJLsJ5aEFKcfAnjMbmEUdTzkTRR2At33ZdPcLXUHNzHNl; ;07.01.2026;
Minneapolis ICE shooting protests;CNN; ;https://www.instagram.com/p/DTSoXWwAitn/;https://www.tiktok.com/@cnn/video/7593325958573182263;https://www.youtube.com/shorts/4DElgX60s2Y;https://www.facebook.com/photo.php?fbid=1268430345149614; ;;
Minneapolis ICE shooting protests;MSNBC; ;https://www.instagram.com/p/DTO_ZC8DEjQ/;https://www.tiktok.com/@msnow/video/7592824520860355853?lang=de-DE;https://www.youtube.com/shorts/S_KeJ5EK1RA;https://www.facebook.com/msnownews/posts/pfbid02QBft6G4PA9jsmBaZ3w596jXEw254sy6YfXUsGtDrnjweGUWHPcBB6c9GR9C1aumtl; ;;
Minneapolis ICE shooting protests;Reuters; ;https://www.instagram.com/reuters/reel/DTQaZrrkcfg/; ; ;https://www.facebook.com/reel/893821696455120; ;;
Minneapolis ICE shooting protests;ORF; ;https://www.instagram.com/zeitimbild/p/DTXfqxLjei0; ; ;https://www.facebook.com/ZeitimBild/posts/pfbid0pqETue5WnixnhZ146XFzHsuXudivRzAneNSaXgVJ9oXxRR7tumP8pRkVx76bRDzDl; ;;
Alex Pretti shooting;FOX;https://x.com/FoxNews/status/2016564585365381403;https://www.instagram.com/foxnews/p/DT6hWhRkq1P/;https://www.tiktok.com/@foxnews/video/7598992613512858910;https://www.youtube.com/shorts/yQwpZczBcFQ;https://www.facebook.com/photo.php?fbid=1297321642257695; ;25.01.2026;
Alex Pretti shooting;Reuters; ;https://www.instagram.com/reuters/reel/DUI3NaFFAsT/;https://www.tiktok.com/@reuters/video/7599577311389830431; ;https://www.facebook.com/reel/873437812061956; ;;
